year,city,country,avg_temp,moving_avg
1808,Cairo,Egypt,17.11,
1809,Cairo,Egypt,19.87,
1810,Cairo,Egypt,19.93,
1811,Cairo,Egypt,20,
1812,Cairo,Egypt,19.93,19.368
1813,Cairo,Egypt,20.51,20.048
1814,Cairo,Egypt,20.43,20.16
1815,Cairo,Egypt,20.3,20.234
1816,Cairo,Egypt,20.51,20.336
1817,Cairo,Egypt,21.88,20.726
1818,Cairo,Egypt,11.6,18.944
1819,Cairo,Egypt,20.31,18.92
1820,Cairo,Egypt,20.58,18.976
1821,Cairo,Egypt,20.63,19
1822,Cairo,Egypt,20.72,18.768
1823,Cairo,Egypt,20.71,20.59
1824,Cairo,Egypt,21.44,20.816
1825,Cairo,Egypt,21,20.9
1826,Cairo,Egypt,20.94,20.962
1827,Cairo,Egypt,21.63,21.144
1828,Cairo,Egypt,20.99,21.2
1829,Cairo,Egypt,20.91,21.094
1830,Cairo,Egypt,21.25,21.144
1831,Cairo,Egypt,20.52,21.06
1832,Cairo,Egypt,20.2,20.774
1833,Cairo,Egypt,20.81,20.738
1834,Cairo,Egypt,20.69,20.694
1835,Cairo,Egypt,20.17,20.478
1836,Cairo,Egypt,20.59,20.492
1837,Cairo,Egypt,20.27,20.506
1838,Cairo,Egypt,20.21,20.386
1839,Cairo,Egypt,20.43,20.334
1840,Cairo,Egypt,20.56,20.412
1841,Cairo,Egypt,20.91,20.476
1842,Cairo,Egypt,20.92,20.606
1843,Cairo,Egypt,20.83,20.73
1844,Cairo,Egypt,20.66,20.776
1845,Cairo,Egypt,20.9,20.844
1846,Cairo,Egypt,21.57,20.976
1847,Cairo,Egypt,21.1,21.012
1848,Cairo,Egypt,20.89,21.024
1849,Cairo,Egypt,20.9,21.072
1850,Cairo,Egypt,20.39,20.97
1851,Cairo,Egypt,21.11,20.878
1852,Cairo,Egypt,21.04,20.866
1853,Cairo,Egypt,21.53,20.994
1854,Cairo,Egypt,20.74,20.962
1855,Cairo,Egypt,21.04,21.092
1856,Cairo,Egypt,20.49,20.968
1857,Cairo,Egypt,20.29,20.818
1858,Cairo,Egypt,20.9,20.692
1859,Cairo,Egypt,20.98,20.74
1860,Cairo,Egypt,21.33,20.798
1861,Cairo,Egypt,20.21,20.742
1862,Cairo,Egypt,20.22,20.728
1863,Cairo,Egypt,20.6,20.668
1864,Cairo,Egypt,21.25,20.722
1865,Cairo,Egypt,21.55,20.766
